2026-09-18T08:21:41.511745059Z 2026-09-18T08:21:41.511Z	WARN	ethtxmanager/ethtxmanager.go:701	failed to send tx 0x8aabba9d63e6fc87d164f99f4beff66ab8e72bef3c0f60a857ae7a47947066fa to network: rpc error: invalid nonce 8 for 0x0b68058e5b2592b1f472adfe106305295a332a7c: durable transaction at lower nonce 3 has not reached the Miden handoff; re-submit that exact signed transaction first	{"pid": 1, "monitoredTxId": "0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e", "createdAt": "2026-09-18T08:21:32.000Z", "from": "0x0b68058E5b2592b1f472AdFe106305295A332A7C", "to": "0xa40D5f56745a118D0906a34E69aeC8C0Db1cB8fA"}
2026-09-18T08:28:00.647590036Z 2026-09-18T08:28:00.647Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:28:10.439502037Z 2026-09-18T08:28:10.439Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:28:20.418659755Z 2026-09-18T08:28:20.418Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:28:28.488736866Z 2026-09-18T08:28:28.488Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:28:38.452006148Z 2026-09-18T08:28:38.451Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:28:48.434373820Z 2026-09-18T08:28:48.434Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:28:56.467230907Z 2026-09-18T08:28:56.467Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:05.432223500Z 2026-09-18T08:29:05.432Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:14.468625094Z 2026-09-18T08:29:14.468Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:24.444486179Z 2026-09-18T08:29:24.444Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:32.446477069Z 2026-09-18T08:29:32.446Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:40.452957963Z 2026-09-18T08:29:40.452Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:48.470425489Z 2026-09-18T08:29:48.470Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
2026-09-18T08:29:56.486155736Z 2026-09-18T08:29:56.485Z	INFO	chaingersender/evm.go:238	inject GER transaction already exists in monitoring DB with ID: 0x366fcd1eac314513777d99e3884a8cbb82f55865a614b65a890deec3c2ffc53e. GER: 0x49363b87084fe4c6f35a5aa80e50dcaae61ebb514fcabc759a221f489bea0411	{"pid": 1, "version": "v0.8.3-rc1", "module": "aggoracle"}
